Ward,Neighbourhood Number,Neighbourhood Name,"Less than $30,000","$30,000 to less than $60,000","$60,000 to less than $100,000","$100,000 to less than $125,000","$125,000 to less than $150,000","$150,000 to less than $200,000","$200,000 to less than $250,000","$250,000 or more",No Response
WARD 6,3310,NORTH GLENORA,66,105,143,65,56,58,16,21,273
WARD 10,5070,BLUE QUILL ESTATES,34,83,73,50,36,23,9,21,162
WARD 5,4270,LYMBURN,141,346,418,227,136,115,41,21,682
WARD 12,6662,WALKER,88,503,547,235,121,115,37,20,887
WARD 10,5160,DUGGAN,188,283,283,164,92,74,29,20,555
WARD 3,3190,ELSINORE,17,55,98,40,48,39,10,20,463
WARD 9,5576,KESWICK AREA,2,13,33,24,31,34,20,20,31
WARD 3,2241,EAUX CLAIRES,56,166,222,95,55,45,23,20,570
WARD 4,2521,MCCONACHIE AREA,53,180,325,243,148,145,39,19,766
WARD 5,4390,PATRICIA HEIGHTS,15,47,65,34,23,36,17,19,411
WARD 1,4700,BRECKENRIDGE GREENS,25,93,179,92,58,70,23,19,189
WARD 5,4160,GARIEPY,14,185,74,33,20,28,16,19,348
WARD 9,5451,RICHFORD,13,50,55,27,15,17,16,19,91
WARD 8,5330,QUEEN ALEXANDRA,365,465,427,175,85,72,21,19,"1,261"
WARD 8,6310,HOLYROOD,63,140,161,71,83,62,27,19,906
WARD 10,5060,BLUE QUILL,142,362,218,72,30,40,25,18,"1,034"
WARD 3,2511,MAYLIEWAN,43,90,100,98,63,57,34,18,751
WARD 3,3370,RAPPERSWILL,3,46,127,73,64,50,14,18,337
WARD 12,6790,WILD ROSE,32,198,273,125,100,96,34,18,"1,564"
WARD 5,4551,GRANVILLE,7,28,77,74,63,58,18,17,261
WARD 11,6360,KING EDWARD PARK,133,239,282,104,87,67,26,17,963
WARD 3,2050,BELLE RIVE,62,174,203,87,51,62,20,16,487
WARD 4,2500,MATT BERRY,32,141,237,168,69,84,25,16,470
WARD 11,6280,GREENVIEW,74,147,159,89,43,50,20,16,357
WARD 10,5280,MALMO PLAINS,58,178,163,63,42,46,20,16,644
WARD 4,2280,FRASER,84,157,190,104,53,49,16,15,607
WARD 3,3120,CHAMBERY,2,31,73,57,42,54,29,15,424
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,4,9,11,19,22,21,14,15,118
WARD 10,5250,KEHEEWIN,68,144,138,70,33,38,14,15,695
WARD 2,3470,CARLTON,37,147,262,149,103,98,35,15,818
WARD 10,5270,LENDRUM PLACE,19,34,63,45,33,38,15,15,557
WARD 3,2450,LAGO LINDO,53,147,236,115,77,87,25,15,614
WARD 2,3480,HUDSON,21,98,163,63,32,31,4,15,373
WARD 10,5470,STEINHAUER,35,81,95,60,38,33,16,14,403
WARD 5,4110,DECHENE,7,44,76,47,36,33,23,14,312
WARD 3,3040,BEAUMARIS,114,209,182,72,48,47,20,14,"1,253"
WARD 6,1020,BOYLE STREET,826,487,303,87,41,32,10,14,"2,172"
WARD 5,4220,JAMIESON PLACE,26,71,103,78,64,65,17,13,882
WARD 12,6330,JACKSON HEIGHTS,41,120,158,78,56,41,9,13,717
WARD 8,6270,GOLD BAR,83,138,213,94,55,43,23,13,459
WARD 10,5490,SWEET GRASS,42,182,212,58,31,34,10,13,479
WARD 12,6442,SILVER BERRY,40,163,277,202,92,61,19,13,"1,646"
WARD 1,4240,LA PERLE,229,293,282,129,76,64,23,12,845
WARD 5,4420,QUESNELL HEIGHTS,0,1,9,2,8,10,5,12,73
WARD 1,4020,ALDERGROVE,119,266,284,135,72,49,22,12,952
WARD 12,6140,CRAWFORD PLAINS,58,174,282,127,87,56,18,12,613
WARD 12,6443,TAMARACK,103,242,293,129,64,69,28,12,498
WARD 5,4463,RIVERVIEW AREA,0,6,17,10,10,7,15,11,84
WARD 11,6680,SATOO,73,160,228,100,70,39,13,11,531
WARD 6,1180,QUEEN MARY PARK,587,488,294,92,55,43,10,11,"2,367"
WARD 5,4462,EDGEMONT,4,31,71,48,32,47,23,11,271
WARD 1,4487,SECORD,9,357,128,96,59,90,24,11,356
WARD 4,2070,BELMONT,132,263,231,125,68,51,7,11,"1,070"
WARD 9,5452,MACEWAN,69,274,360,187,128,104,37,11,"1,064"
WARD 10,5180,ERMINESKIN,367,531,322,94,60,45,28,11,986
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,6,53,158,89,73,55,23,10,287
WARD 1,4040,BELMEAD,131,231,201,102,65,52,25,10,825
WARD 2,3010,ATHLONE,101,170,203,81,55,46,7,10,475
WARD 8,6350,KENILWORTH,84,226,226,64,43,41,15,9,345
WARD 10,5010,ALLENDALE,66,112,123,59,30,33,11,9,815
WARD 11,6750,TIPASKAN,163,204,184,54,43,18,9,9,324
WARD 4,2110,BRINTNELL,22,60,148,98,63,81,34,9,"1,581"
WARD 7,1070,CROMDALE,168,133,74,21,11,9,11,8,666
WARD 4,2390,KERNOHAN,57,152,173,78,44,38,9,8,614
WARD 3,3180,DUNLUCE,203,317,312,122,69,60,10,8,"1,286"
WARD 9,5577,GLENRIDDING AREA,6,20,70,38,21,26,8,8,316
WARD 7,2060,BELLEVUE,39,58,68,41,24,16,11,8,216
WARD 8,6320,IDYLWYLDE,151,147,129,54,21,19,14,8,391
WARD 4,2030,BANNERMAN,172,239,280,111,43,41,9,7,255
WARD 12,6211,ELLERSLIE,41,148,290,138,71,56,19,7,"1,213"
WARD 8,6240,FULTON PLACE,56,95,111,66,38,47,17,7,501
WARD 2,3090,CARLISLE,133,270,250,87,59,36,9,7,510
WARD 7,2090,BERGMAN,39,86,69,39,26,22,11,7,265
WARD 11,6290,HAZELDEAN,83,202,203,96,81,60,12,7,604
WARD 4,2590,OVERLANDERS,129,207,192,60,38,20,3,7,571
WARD 12,6030,BISSET,74,189,183,62,42,27,5,7,782
WARD 3,2410,KILKENNY,208,321,250,110,72,40,20,7,"1,007"
WARD 8,6730,TERRACE HEIGHTS,111,118,99,42,32,40,15,7,684
WARD 9,5465,HAYS RIDGE AREA,1,0,2,1,5,7,9,7,20
WARD 10,5430,ROYAL GARDENS,121,199,224,68,31,38,19,7,695
WARD 4,2350,HOMESTEADER,126,242,222,81,45,24,14,6,513
WARD 5,4280,LYNNWOOD,70,159,161,58,45,45,15,6,816
WARD 12,6444,LAUREL,27,189,296,139,63,41,14,6,"1,380"
WARD 4,2080,BELVEDERE,343,326,239,74,38,20,10,6,"1,319"
WARD 1,4740,WEBBER GREENS,11,26,71,41,44,42,11,6,432
WARD 11,6300,HILLVIEW,106,199,211,98,49,42,22,6,616
WARD 10,5460,SKYRATTLER,94,222,232,73,32,34,12,6,393
WARD 1,4230,JASPER PARK,104,127,118,27,25,12,6,6,412
WARD 2,3170,DOVERCOURT,61,160,159,87,45,48,15,6,285
WARD 3,3280,LORELEI,166,352,274,89,52,41,10,6,425
WARD 11,6450,MENISA,235,186,175,80,51,40,13,5,140
WARD 4,2530,MCLEOD,85,155,143,70,42,39,6,5,317
WARD 12,6150,DALY GROVE,76,169,189,99,51,35,10,5,541
WARD 12,6770,WEINLOS,28,100,102,42,17,26,6,5,839
WARD 12,6441,MAPLE,6,41,77,37,13,22,10,5,197
WARD 11,6020,AVONMORE,98,148,109,50,27,36,16,5,479
WARD 5,4560,THORNCLIFF,45,96,84,32,27,14,6,5,956
WARD 2,3070,CALDER,239,221,190,70,43,19,7,5,955
WARD 1,4310,MEADOWLARK PARK,124,315,197,114,46,47,10,5,321
WARD 7,2560,NEWTON,137,191,162,59,41,23,4,5,528
WARD 2,3450,WOODCROFT,214,121,107,32,24,29,6,5,642
WARD 3,2260,EVANSDALE,298,460,223,75,44,26,11,5,974
WARD 4,2720,YORK,148,297,271,103,65,42,14,5,510
WARD 1,4060,BRITANNIA YOUNGSTOWN,207,223,190,67,31,17,2,5,"1,475"
WARD 3,3030,BATURYN,33,138,202,101,46,26,7,4,"1,191"
WARD 1,4580,WEST JASPER PLACE,169,309,83,27,22,14,7,4,839
WARD 6,3300,MCQUEEN,85,87,83,42,22,26,12,4,430
WARD 7,2020,BALWIN,321,282,175,53,35,12,8,4,654
WARD 6,1030,CENTRAL MCDOUGALL,610,435,172,32,17,7,2,4,"1,714"
WARD 7,2230,DELWOOD,113,194,146,71,35,40,10,4,723
WARD 5,4140,ELMWOOD,112,260,228,80,33,22,4,4,255
WARD 2,3060,CAERNARVON,82,208,210,75,40,23,7,4,967
WARD 2,3260,LAUDERDALE,88,137,100,40,21,18,3,4,782
WARD 1,4520,SUMMERLEA,94,194,157,42,36,23,12,4,354
WARD 4,2145,CLAREVIEW TOWN CENTRE,99,161,190,92,31,24,7,4,814
WARD 5,4080,CALLINGWOOD SOUTH,265,439,344,89,29,16,7,4,"1,646"
WARD 1,4290,MAYFIELD,46,110,90,39,27,16,10,4,523
WARD 7,1010,ALBERTA AVENUE,601,667,364,139,62,61,11,4,"1,138"
WARD 2,3410,SHERBROOKE,61,106,116,52,28,23,6,4,670
WARD 4,2541,MILLER,53,262,192,51,48,22,10,4,475
WARD 4,2430,KIRKNESS,94,179,186,78,46,44,15,4,835
WARD 10,5360,RIDEAU PARK,152,173,128,39,28,23,15,4,524
WARD 7,2550,MONTROSE,171,236,224,74,19,18,8,4,712
WARD 11,6110,CPR IRVINE,10,3,19,9,5,9,0,4,40
WARD 11,6010,ARGYLL,18,25,33,17,22,10,3,3,204
WARD 7,2100,BEVERLY HEIGHTS,265,329,130,43,17,18,5,3,822
WARD 7,2400,KILDARE,138,248,161,40,21,15,3,3,537
WARD 7,2580,NORTHMOUNT,65,125,129,57,24,25,7,3,866
WARD 4,2670,RURAL NORTH EAST HORSE HILL,4,4,3,1,1,2,1,3,123
WARD 2,3250,KENSINGTON,119,162,148,51,28,19,7,3,"1,102"
WARD 11,6670,SAKAW,317,244,242,81,38,44,15,3,397
WARD 1,4090,CANORA,120,151,97,32,21,7,3,3,"1,076"
WARD 2,3460,ALBANY,10,56,63,30,9,14,13,3,350
WARD 11,6480,MICHAELS PARK,38,77,95,35,23,18,7,3,512
WARD 11,6340,KAMEYOSEK,237,233,123,39,16,17,3,3,435
WARD 1,4200,HIGH PARK,42,61,50,34,13,7,3,3,450
WARD 7,1080,DELTON,145,155,149,42,26,23,6,3,298
WARD 12,6660,RURAL SOUTH EAST,7,8,11,4,4,5,1,3,18
WARD 2,3020,BARANOW,144,143,94,18,11,5,2,3,555
WARD 11,6460,MEYOKUMIN,63,171,168,79,38,31,7,3,455
WARD 11,6250,GAINER INDUSTRIAL,9,29,58,24,9,8,1,3,94
WARD 12,6530,MINCHAU,19,59,79,42,27,21,4,3,823
WARD 2,1250,WESTWOOD,381,321,124,36,22,14,2,3,924
WARD 11,6200,EKOTA,53,107,108,35,24,29,8,3,546
WARD 2,1170,PRINCE RUPERT,31,27,37,11,9,10,2,3,517
WARD 7,2040,BEACON HEIGHTS,142,152,190,62,33,24,6,3,591
WARD 1,4750,ROSENTHAL,7,31,91,48,24,36,5,2,288
WARD 2,3340,PEMBINA,7,15,41,37,7,3,1,2,153
WARD 11,6520,MILL WOODS TOWN CENTRE,180,185,65,17,8,0,0,2,138
WARD 2,3430,WELLINGTON,101,181,197,51,31,23,4,2,590
WARD 1,4475,KINOKAMAU PLAINS AREA,0,9,35,1,0,0,1,2,1
WARD 2,1230,SPRUCE AVENUE,92,98,62,21,14,14,5,2,449
WARD 3,2463,CRYSTALLINA NERA WEST,3,35,79,51,38,20,10,2,122
WARD 1,4540,TERRA LOSA,158,265,198,62,23,22,7,2,565
WARD 7,1160,PARKDALE,253,209,192,48,17,6,3,2,872
WARD 7,2420,KILLARNEY,179,284,216,64,29,11,4,2,905
WARD 7,2010,ABBOTTSFIELD,206,170,79,23,4,3,3,2,195
WARD 5,4070,CALLINGWOOD NORTH,126,247,207,50,14,8,5,2,450
WARD 1,4180,GLENWOOD,404,435,251,83,34,26,6,2,943
WARD 4,2130,CASSELMAN,175,283,265,93,55,33,14,2,467
WARD 11,6400,LEE RIDGE,95,110,94,29,11,19,2,2,623
WARD 7,2290,GLENGARRY,200,149,128,59,21,26,6,2,650
WARD 1,4620,WESTVIEW VILLAGE,85,121,114,16,17,5,0,1,684
WARD 1,4485,LEWIS FARMS INDUSTRIAL,1,1,2,0,0,0,1,1,27
WARD 11,6600,RICHFIELD,72,82,100,30,24,12,3,1,805
WARD 7,1240,VIRGINIA PARK,204,26,22,10,5,10,3,1,138
WARD 4,2710,SIFTON PARK,40,33,54,12,9,7,2,1,646
WARD 1,4500,SHERWOOD,42,96,90,41,32,22,3,1,310
WARD 11,6760,TWEDDLE PLACE,43,98,93,40,29,24,4,1,773
WARD 1,4473,HAWKS RIDGE,7,76,27,11,15,14,3,1,17
WARD 12,6580,POLLARD MEADOWS,134,269,202,75,30,21,5,1,836
WARD 10,5170,EMPIRE PARK,128,385,345,79,19,10,3,1,"1,330"
WARD 4,2320,HAIRSINE,109,197,141,57,30,22,5,1,406
WARD 4,2120,CANON RIDGE,27,125,139,109,72,31,9,1,516
WARD 2,3390,ROSSLYN,251,185,185,99,42,10,6,1,522
WARD 7,2660,RUNDLE HEIGHTS,129,433,206,34,23,14,2,1,544
WARD 7,1100,EASTWOOD,341,306,173,42,12,12,4,1,"1,006"
WARD 9,5468,GRAYDON HILL,1,3,5,2,4,4,2,1,30
WARD 9,5469,PAISLEY,4,11,31,28,16,18,2,1,78
WARD 2,3350,PRINCE CHARLES,37,54,64,26,9,6,2,1,387
WARD 11,6720,TAWA,91,166,146,35,22,17,2,1,456
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,0,0
WARD 11,6470,MEYONOHK,47,138,156,62,23,28,8,0,650
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0,0,0
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0,0,0
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0,0,0,0
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0,0,0
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0,0,0,0
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,0,0
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 1,4474,STARLING,1,94,120,7,5,15,4,0,26
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,0,0
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0,0
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0,0
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,0,0
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 12,6440,MEADOWS AREA,0,0,0,0,0,0,0,0,0
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0,0,0
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0,0
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,0,0,0,0,19
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,0,0
WARD 4,2270,EVERGREEN,60,87,55,26,14,3,2,0,439
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0,0
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 4,2611,CY BECKER,0,2,17,9,13,5,0,0,179
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0,0
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,0,1
WARD 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0,0,2
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0,0
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0,0
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0,0
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0
WARD 1,4400,PLACE LARUE,0,0,0,0,0,0,0,0,0
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,0,17
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,0,0
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0,0,0
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0,0,0
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0,0,0
WARD 4,2251,EBBERS,0,4,4,2,0,1,0,0,26
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,0,0
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 4,2311,GORMAN,0,0,0,0,0,0,0,0,0
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0
WARD 1,4486,STEWART GREENS,0,2,11,7,11,7,2,0,35
WARD 9,5466,CASHMAN,0,0,0,0,0,0,0,0,0
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0,0
WARD 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0,0,7
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,0,3
WARD 1,4590,WEST MEADOWLARK PARK,60,116,99,44,25,13,3,0,"1,110"
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,0,0
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0,0
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,0,0
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,1,1,2,2,0,1,0,0,23
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0,0,0
WARD 1,4470,RURAL WEST BIG LAKE,0,13,19,0,0,0,1,0,24
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0,0,0
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,0,0
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0,0
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0
WARD 6,1140,MCCAULEY,530,214,135,30,14,13,8,0,"1,401"
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0
